Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,..,..
Argentina,ARG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,80.3326110839844,85.1910400390625,85.5663223266602,85.1942672729492,80.8704299926758,79.1654891967773,80.1669616699219,76.5988998413086,74.7632522583008,76.435546875,77.7337112426758,81.5473785400391,85.2694396972656,86.2102508544922,88.4562072753906,88.9163208007813,90.1158599853516,89.2053070068359,89.8170394897461,..,..,..
Argentina,ARG,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,74.40915,76.26566,78.48781,78.94955,78.81052,78.51365,78.53653,77.93493,77.80917,77.68491,78.65304,80.56529,82.09918,83.52317,85.89363,87.09754,87.6325,88.44048,89.88468,90.79605,..,..,..
Argentina,ARG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,14.0588009469576,14.6580142724087,12.3428796259615,..,..,..,..,..,..,..,..,..,18.6170192218098,18.4615079098074,20.7221905250131,18.3690659253095,16.5645666297455,16.4622457839482,..
Argentina,ARG,Compensation of employees (% of expense),GC.XPN.COMP.ZS,..,..,..,..,..,..,15.5269086357947,15.4618564365154,15.4062824560854,..,..,..,..,..,..,..,..,..,16.2328704614978,17.0479740378471,15.0311113149494,16.1390776067872,16.0672236228158,15.0478657979708,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,8.11491458186704,10.5409600845656,10.9398841441773,10.9141002182726,10.7588406781119,10.3550895194753,11.2762876384281,10.3472691295894,10.7949052818749,10.5706953686035,10.7143870597919,10.2250136511182,10.3592148287213,9.9827317543286,8.72792749178867,8.39608081980497,7.46475927233597,8.04014399226874,..
Argentina,ARG,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,45.2589988708496,45.5810012817383,45.8709983825684,45.8889999389648,46.0579986572266,45.9329986572266,45.4669990539551,46.0550003051758,46.6440010070801,44.8800010681152,45.5629997253418,44.0709991455078,42.6230010986328,42.625,40.701000213623,40.6660003662109,40.2099990844727,39.8110008239746,38.4980010986328,38.5530014038086,38.5390014648438,38.4469985961914,38.9379997253418,38.5559997558594,38.2130012512207
Argentina,ARG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,84.1389999389648,84.3685989379883,84.9532012939453,..,83.8522033691406,83.8777008056641,83.8422012329102,83.6411972045898,82.4685974121094,82.6486968994141,82.2104034423828,..,..,79.0328979492188,79.5768966674805,80.4072036743164,..
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,59.5,59.5,59.9000015258789,60.4000015258789,57.7200012207031,56.7999992370605,57.9000015258789,60.25,61.942699432373,61.5112991333008,61.7949981689453,61,60.4280014038086,60.7803001403809,60.1870994567871,60.6514015197754,60.3616981506348,59.9623985290527,59.4435005187988,..,..,58.8082008361816,59.5951995849609,60.2890014648438,..
Argentina,ARG,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,55.8991012573242,54.8004989624023,54.220401763916,..,52.2107009887695,51.9132995605469,51.2443008422852,51.4772987365723,50.8647994995117,49.7816009521484,49.8270988464355,..,..,48.494800567627,48.4580001831055,48.7499008178711,..
